Name,Ticker,Start Price,End Price,Price Growth (%),Volatility,Data Range
Abbvie Inc,ABBV,174.5440216064453,211.5399932861328,21.19578278258335,0.10448179160167136,3 months
Advisorshares Dorsey Wright ETF,AADR,69.51000213623047,77.57610321044922,11.604230796037458,0.10575234861818321,3 months
Alliancebernstein Holding LP,AB,34.5919075012207,38.20000076293945,10.430454757637824,0.17851063653437452,3 months
Aapl Bear -1X ETF Direxion,AAPD,15.721359252929688,16.200000762939453,3.044530070900647,0.12136579370615244,3 months
All Country Asia Ex Japan Ishares MSCI ETF,AAXJ,74.02442169189453,76.02999877929688,2.709345161452236,0.08453056320984409,3 months
AA Mission Acquisition Corp Cl A,AAM,10.069999694824219,10.214799880981445,1.437936350997617,0.0076001603644122425,3 months
Ares Acquisition Corporation II Cl A,AACT,10.925000190734863,11.079999923706055,1.4187618330903247,0.0070783532780202395,3 months
Apple Inc,AAPL,242.5732879638672,235.74000549316406,-2.816997093151075,0.12080283539989908,3 months
Atlantic Amer Corp,AAME,1.5499999523162842,1.4800000190734863,-4.516124864274451,0.2069195685881452,3 months
Ata Creativity Global ADR,AACG,0.8700000047683716,0.824400007724762,-5.241378941802436,0.3807025202897444,3 months
